Sensor Name,Variable,Units,Start Datetime,End Datetime,Mean Value,Min Value,Max Value,Median Value,Standard Dev,Count Records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH1966150,NO2,ugm -3,2024-01-01,2024-01-02,-1.2818728779739077,-5.28092,28.99148,-3.13772,5.0972519015328,1303,POINT(-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,-1.690413,54.957331,79202
PER_AIRMON_MESH1903150,NO2,ugm -3,2024-01-01,2024-01-02,24.79344,24.79344,24.79344,24.79344,0.0,1,POINT(-1.521943 55.029411),68.9899978637695,2.0,aq_mesh_api,-1.521943,55.029411,73384
PER_TTN_AIRQUALITY001,NO2,ugm -3,2024-01-01,2024-01-02,51.11405511811024,37.789,75.377,50.133,8.871227986535345,127,POINT(-1.619868 55.007019),,65.0,LORA,-1.619868,55.007019,80118
PER_TTN_AIRQUALITY002,NO2,ugm -3,2024-01-01,2024-01-02,49.41497916666666,35.075,82.0,48.7755,7.63216328411541,48,POINT(-1.625035 54.973649),,2.0,LORA,-1.625035,54.973649,80126
PER_EMOTE_1503,NO2,ugm -3,2024-01-01,2024-01-02,24.54365580947986,0.340555464349519,59.7037731465993,25.68310732353845,12.636763954096583,1378,POINT(-1.615332 54.976758),,2.0,Emote Air Quality Sensor,-1.615332,54.976758,80101
PER_AIRMON_MESH1964150,NO2,ugm -3,2024-01-01,2024-01-02,37.27257762237766,13.26904,102.13664,32.95264,15.468823564564746,1430,POINT(-1.45333 55.022829),43.8699989318848,2.0,aq_mesh_api,-1.45333,55.022829,79200
PER_AIRMON_MESH1957150,NO2,ugm -3,2024-01-01,2024-01-02,36.99154337517432,0.0564,112.8376,31.4148,20.135671668974805,1434,POINT(-1.558716 54.996502),,2.0,aq_mesh_api,-1.558716,54.996502,79194
PER_AIRMON_MESH1919150,NO2,ugm -3,2024-01-01,2024-01-02,6.138259787985858,-3.7036,38.2392,5.0948,5.516363135471599,1415,POINT(-1.59605 54.902785),,8.0,aq_mesh_api,-1.59605,54.902785,79162
PER_AIRMON_MONITOR1135100,NO2,ugm -3,2024-01-01,2024-01-02,13.03411833333333,2.491,60.70896,5.81766,14.75158742741937,96,POINT(-1.617676 54.979118),57.6699981689453,2.0,aq_mesh_api,-1.617676,54.979118,79525
PER_EMOTE_NEW1507,NO2,ugm -3,2024-01-01,2024-01-02,30.64806040360097,12.2612564305738,74.7880122093131,25.986655045247502,14.00944108099943,1344,POINT(-1.615322 54.976199),,2.0,Emote Air Quality Sensor,-1.615322,54.976199,80098
